所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,022,,,,,,,情報通信国際戦略推進費,,"1,833,173",0,0,0,"1,833,173"
,,023,,,,,,,郵政行政推進費,,"453,200",0,0,0,"453,200"
,,024,,,,,,,一般戦災死没者追悼等事業費,,"562,190",0,0,0,"562,190"
,,026,,,,,,,恩給費,,"238,157,435",0,0,0,"238,157,435"
,,027,,,,,,,統計調査費,,"28,097,750",0,0,0,"28,097,750"
,,028,,,,,,,独立行政法人統計センター運営費,,"7,575,624",0,0,0,"7,575,624"
,,029,,,,,,,政党助成費,,"31,797,234",0,0,0,"31,797,234"
,,030,,,,,,,国有提供施設等所在市町村助成交付金,,"28,340,000",0,0,0,"28,340,000"
,,031,,,,,,,施設等所在市町村調整交付金,,"7,200,000",0,0,0,"7,200,000"
,消防庁,,,,,,,,,,"12,557,972","626,321",0,"626,321","13,184,293"
,,071,,,,,,,消防庁共通費,,"2,251,958",0,0,0,"2,251,958"
,,073,,,,,,,消防庁施設費,,"19,440",0,0,0,"19,440"
,,072,,,,,,,消防防災体制等整備費,,"10,286,574","626,321",0,"626,321","10,912,895"
,,,95,014,2,86,5,16,,緊急消防援助隊活動費負担金,"10,000","626,321",0,"626,321","636,321"
,,,95,014,2,12,9,06,,諸謝金外18目,"10,276,574",0,0,0,"10,276,574"
法務省,法務本省,,,,,,,,,,"192,537,179","212,764",0,"212,764","192,749,943"
,,001,,,,,,,法務本省共通費,,"128,163,646",0,0,0,"128,163,646"
,,002,,,,,,,基本法制整備費,,"133,314",0,0,0,"133,314"
,,003,,,,,,,司法制度改革推進費,,"17,105,809",0,0,0,"17,105,809"
,,004,,,,,,,日本司法支援センター運営費,,"14,567,604","212,764",0,"212,764","14,780,368"
,,,95,014,2,40,5,16,,日本司法支援センター運営費交付金,"14,567,604","212,764",0,"212,764","14,780,368"
,,015,,,,,,,再犯防止等企画調整推進費,,"162,056",0,0,0,"162,056"
,,005,,,,,,,検察企画調整費,,"42,721",0,0,0,"42,721"
,,006,,,,,,,矯正企画調整費,,"151,006",0,0,0,"151,006"
,,007,,,,,,,更生保護企画調整推進費,,"447,481",0,0,0,"447,481"
,,008,,,,,,,債権管理回収業審査監督費,,"9,805",0,0,0,"9,805"
,,009,,,,,,,人権擁護推進費,,"1,236,516",0,0,0,"1,236,516"
,,010,,,,,,,訟務費,,"1,900,192",0,0,0,"1,900,192"
,,011,,,,,,,出入国管理企画調整推進費,,"1,530,862",0,0,0,"1,530,862"
,,012,,,,,,,法務省施設費,,"25,045,594",0,0,0,"25,045,594"
,,013,,,,,,,法務行政情報化推進費,,"2,040,573",0,0,0,"2,040,573"
外務省,外務本省,,,,,,,,,,"549,847,053","73,056",0,"73,056","549,920,109"
,,001,,,,,,,外務本省共通費,,"59,398,403",0,0,0,"59,398,403"
,,002,,,,,,,外務本省施設費,,"1,039,698",0,0,0,"1,039,698"
,,003,,,,,,,地域別外交費,,"4,837,801",0,0,0,"4,837,801"
,,004,,,,,,,分野別外交費,,"4,788,695",0,0,0,"4,788,695"
,,005,,,,,,,広報文化交流及報道対策費,,"4,723,508",0,0,0,"4,723,508"
,,006,,,,,,,独立行政法人国際交流基金運営費,,"12,562,015",0,0,0,"12,562,015"
,,011,,,,,,,独立行政法人国際交流基金施設整備費,,0,"73,056",0,"73,056","73,056"
,,,95,015,1,30,5,16,,独立行政法人国際交流基金施設整備費補助金,0,"73,056",0,"73,056","73,056"
,,007,,,,,,,領事政策費,,"12,303,815",0,0,0,"12,303,815"
,,008,,,,,,,経済協力費,,"161,906,903",0,0,0,"161,906,903"
,,009,,,,,,,独立行政法人国際協力機構運営費,,"149,764,330",0,0,0,"149,764,330"
,,012,,,,,,,独立行政法人国際協力機構施設整備費,,"709,018",0,0,0,"709,018"
,,010,,,,,,,国際分担金其他諸費,,"137,812,867",0,0,0,"137,812,867"
財務省,財務本省,,,,,,,,,,"24,660,377,078","170,200,000",0,"170,200,000","24,830,577,078"
,,001,,,,,,,財務本省共通費,,"176,256,794",0,0,0,"176,256,794"
,,002,,,,,,,財務本省施設費,,"223,866",0,0,0,"223,866"
,,003,,,,,,,財政健全化推進費,,"8,872,219",0,0,0,"8,872,219"
,,004,,,,,,,税制企画立案費,,"153,471",0,0,0,"153,471"
,,005,,,,,,,資産債務管理費,,"1,866,875",0,0,0,"1,866,875"
,,008,,,,,,,国債費,,"23,301,964,027",0,0,0,"23,301,964,027"
,,007,,,,,,,公務員宿舎施設費,,"6,901,029",0,0,0,"6,901,029"
,,014,,,,,,,特定国有財産整備費,,"2,036,813",0,0,0,"2,036,813"
,,016,,,,,,,特定国有財産整備諸費,,"59,986",0,0,0,"59,986"
,,009,,,,,,,貨幣製造及信用秩序制度等企画立案費,,"14,856,626",0,0,0,"14,856,626"
,,010,,,,,,,関税制度等企画立案費,,"1,526,148",0,0,0,"1,526,148"
,,011,,,,,,,経済協力費,,"77,622,110",0,0,0,"77,622,110"
,,012,,,,,,,政策金融費,,"65,336,796","70,200,000",0,"70,200,000","135,536,796"
,,,60,062,1,95,9,24,,株式会社日本政策金融公庫出資金,"50,500,000","70,200,000",0,"70,200,000","120,700,000"
,,,95,062,2,40,5,16,,危機対応円滑化業務補助金外2目,"14,836,796",0,0,0,"14,836,796"
,,013,,,,,,,国家公務員共済組合連合会等助成費,,"65,797,534",0,0,0,"65,797,534"
,,064,,,,,,,復興事業費等東日本大震災復興特別会計へ繰入,,"586,902,784",0,0,0,"586,902,784"
,,019,,,,,,,予備費,,"350,000,000","100,000,000",0,"100,000,000","450,000,000"
,,,98,110,2,95,9,99,,(予備費),"350,000,000","100,000,000",0,"100,000,000","450,000,000"
文部科学省,文部科学本省,,,,,,,,,,"5,169,690,143","130,580,319",0,"130,580,319","5,300,270,462"
,,001,,,,,,,文部科学本省共通費,,"103,866,545",0,0,0,"103,866,545"
,,002,,,,,,,文部科学本省施設費,,"56,956",0,0,0,"56,956"
,,003,,,,,,,生涯学習振興費,,"18,330,262",0,0,0,"18,330,262"
,,004,,,,,,,独立行政法人国立科学博物館運営費,,"2,728,902",0,0,0,"2,728,902"
,,005,,,,,,,独立行政法人国立女性教育会館運営費,,"497,179",0,0,0,"497,179"
,,006,,,,,,,初等中等教育等振興費,,"520,600,480","100,033",0,"100,033","520,700,513"
,,,15,071,1,82,5,16,,認定こども園施設整備交付金,"2,248,000","100,033",0,"100,033","2,348,033"
,,,15,071,2,12,9,06,,諸謝金外36目,"518,352,480",0,0,0,"518,352,480"
,,007,,,,,,,独立行政法人国立青少年教育振興機構運営費,,"8,720,360",0,0,0,"8,720,360"
,,008,,,,,,,独立行政法人国立青少年教育振興機構施設整備費,,0,"125,880",0,"125,880","125,880"
,,,95,072,1,30,5,16,,独立行政法人国立青少年教育振興機構施設整備費補助金,0,"125,880",0,"125,880","125,880"
,,009,,,,,,,独立行政法人教職員支援機構運営費,,"1,265,751",0,0,0,"1,265,751"
,,011,,,,,,,独立行政法人国立特別支援教育総合研究所運営費,,"1,049,000",0,0,0,"1,049,000"
,,012,,,,,,,独立行政法人国立特別支援教育総合研究所施設整備費,,"37,584",0,0,0,"37,584"
,,013,,,,,,,義務教育費国庫負担金,,"1,522,781,000",0,0,0,"1,522,781,000"
,,014,,,,,,,高等教育振興費,,"49,981,788",0,0,0,"49,981,788"
,,015,,,,,,,独立行政法人大学改革支援・学位授与機構運営費,,"1,652,942",0,0,0,"1,652,942"
,,017,,,,,,,独立行政法人国立高等専門学校機構運営費,,"62,484,738","8,992",0,"8,992","62,493,730"
,,,15,071,2,30,5,16,,独立行政法人国立高等専門学校機構運営費交付金,"62,484,738","8,992",0,"8,992","62,493,730"
,,020,,,,,,,独立行政法人国立高等専門学校機構施設整備費,,"1,977,510","483,561",0,"483,561","2,461,071"
,,,15,071,1,30,5,16,,独立行政法人国立高等専門学校機構施設整備費補助金,"1,977,510","483,561",0,"483,561","2,461,071"
,,021,,,,,,,育英事業費,,"113,475,781",0,0,0,"113,475,781"
,,022,,,,,,,私立学校振興費,,"555,037,458","4,304,480",0,"4,304,480","559,341,938"
,,,15,071,2,71,5,16,,私立大学等経常費補助金,"312,475,000","490,870",0,"490,870","312,965,870"
,,,15,071,2,71,5,16,,私立高等学校等経常費助成費補助金,"99,416,000","174,147",0,"174,147","99,590,147"
,,,15,071,1,92,5,16,,私立学校施設整備費補助金,"6,140,672","2,642,786",0,"2,642,786","8,783,458"
,,,15,074,1,92,5,16,,私立学校建物其他災害復旧費補助金,0,"991,781",0,"991,781","991,781"
,,,15,074,2,81,5,16,,私立学校施設災害復旧都道府県事務費交付金,0,"4,896",0,"4,896","4,896"
,,,15,071,2,12,9,06,,諸謝金外10目,"137,005,786",0,0,0,"137,005,786"
,,023,,,,,,,科学技術・学術政策推進費,,"7,297,699",0,0,0,"7,297,699"
,,027,,,,,,,研究振興費,,"295,659,941",0,0,0,"295,659,941"
,,028,,,,,,,国立大学法人施設整備費,,"38,702,133","9,159,674",0,"9,159,674","47,861,807"
,,,15,071,1,30,5,16,,国立大学法人施設整備費補助金,"31,164,559","9,121,284",0,"9,121,284","40,285,843"
,,,13,073,1,30,5,16,,国立大学法人先端研究等施設整備費補助金,"7,537,574","38,390",0,"38,390","7,575,964"
,,029,,,,,,,国立大学法人船舶建造費,,"1,802,394",0,0,0,"1,802,394"
,,030,,,,,,,国立大学法人運営費,,"1,088,157,813","5,585,485",0,"5,585,485","1,093,743,298"
,,,15,071,2,30,5,16,,国立大学法人運営費交付金,"1,088,157,813","5,585,485",0,"5,585,485","1,093,743,298"
,,031,,,,,,,独立行政法人日本学術振興会運営費,,"26,600,504",0,0,0,"26,600,504"
,,032,,,,,,,研究開発推進費,,"133,725,884",0,0,0,"133,725,884"
,,039,,,,,,,国立研究開発法人物質・材料研究機構運営費,,"13,517,272",0,0,0,"13,517,272"
,,041,,,,,,,国立研究開発法人日本医療研究開発機構運営費,,"5,663,409",0,0,0,"5,663,409"
,,033,,,,,,,国立研究開発法人科学技術振興機構運営費,,"100,812,003",0,0,0,"100,812,003"
,,064,,,,,,,国立研究開発法人科学技術振興機構施設整備費,,"142,040",0,0,0,"142,040"
