所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,,95,014,2,12,3,09,,収容諸費,"1,514,327","161,174",0,"161,174","1,675,501"
,,,95,014,2,12,9,06,,諸謝金外12目,"9,162,696",0,0,0,"9,162,696"
外務省,外務本省,,,,,,,,,,"563,597,995","100,121,786",0,"100,121,786","663,719,781"
,,001,,,,,,,外務本省共通費,,"65,323,561","4,178,423",0,"4,178,423","69,501,984"
,,,95,015,2,12,9,06,,諸謝金,"989,197","2,462",0,"2,462","991,659"
,,,95,015,2,12,2,08,,職員旅費,"1,901,653","6,865",0,"6,865","1,908,518"
,,,95,015,2,12,3,09,,庁費,"3,493,295","60,063",0,"60,063","3,553,358"
,,,95,015,2,12,3,09,,情報処理業務庁費,"13,660,931","2,353,365",0,"2,353,365","16,014,296"
,,,95,015,2,12,3,09,,在外公館連絡庁費,"1,326,081","1,755,668",0,"1,755,668","3,081,749"
,,,95,015,2,12,9,06,,政府開発援助諸謝金外36目,"43,952,404",0,0,0,"43,952,404"
,,002,,,,,,,外務本省施設費,,"908,934",0,0,0,"908,934"
,,003,,,,,,,地域別外交費,,"4,053,081","6,304",0,"6,304","4,059,385"
,,,95,015,2,40,5,16,,国際友好団体補助金,"1,668,124","6,304",0,"6,304","1,674,428"
,,,95,015,2,12,9,06,,諸謝金外21目,"2,384,957",0,0,0,"2,384,957"
,,004,,,,,,,分野別外交費,,"4,007,538","2,907",0,"2,907","4,010,445"
,,,95,015,2,12,3,09,,啓発宣伝費,"36,372","2,907",0,"2,907","39,279"
,,,95,015,2,12,9,06,,諸謝金外19目,"3,971,166",0,0,0,"3,971,166"
,,005,,,,,,,広報文化交流及報道対策費,,"10,118,302","1,414,945",0,"1,414,945","11,533,247"
,,,95,015,2,12,9,06,,戦略的対外発信謝金,"187,447","1,370,945",0,"1,370,945","1,558,392"
,,,95,015,2,12,3,09,,情報処理業務庁費,"580,385","44,000",0,"44,000","624,385"
,,,95,015,2,12,9,06,,諸謝金外19目,"9,350,470",0,0,0,"9,350,470"
,,006,,,,,,,独立行政法人国際交流基金運営費,,"12,672,192",0,0,0,"12,672,192"
,,007,,,,,,,領事政策費,,"12,925,695","339,450",0,"339,450","13,265,145"
,,,95,015,2,12,9,06,,諸謝金,"272,797","7,810",0,"7,810","280,607"
,,,95,015,2,12,3,09,,情報処理業務庁費,"4,069,836","279,290",0,"279,290","4,349,126"
,,,95,015,2,12,3,09,,啓発宣伝費,"98,392","52,350",0,"52,350","150,742"
,,,95,015,2,12,2,08,,職員旅費外8目,"8,484,670",0,0,0,"8,484,670"
,,008,,,,,,,経済協力費,,"164,723,756","53,058,480",0,"53,058,480","217,782,236"
,,,50,015,2,12,9,06,,政府開発援助諸謝金,"336,534","58,480",0,"58,480","395,014"
,,,50,015,2,72,5,16,,政府開発援助経済開発等援助費,"163,197,000","53,000,000",0,"53,000,000","216,197,000"
,,,50,015,2,12,9,06,,政府開発援助経済協力評価等調査謝金外9目,"1,190,222",0,0,0,"1,190,222"
,,009,,,,,,,独立行政法人国際協力機構運営費,,"151,064,816","1,950,000",0,"1,950,000","153,014,816"
,,,50,015,2,30,5,16,,政府開発援助独立行政法人国際協力機構運営費交付金,"151,064,816","1,950,000",0,"1,950,000","153,014,816"
,,012,,,,,,,独立行政法人国際協力機構施設整備費,,"535,011",0,0,0,"535,011"
,,010,,,,,,,国際分担金其他諸費,,"137,265,109","39,171,277",0,"39,171,277","176,436,386"
,,,50,015,2,72,5,16,,政府開発援助経済協力国際機関等拠出金,"35,680,327","32,973,546",0,"32,973,546","68,653,873"
,,,95,015,2,72,5,16,,政府開発援助国際機関等拠出金,"480,088","492,000",0,"492,000","972,088"
,,,95,015,2,72,5,16,,国際機関等拠出金,"381,928","5,705,731",0,"5,705,731","6,087,659"
,,,50,015,2,72,5,16,,政府開発援助経済協力国際機関分担金外6目,"100,722,766",0,0,0,"100,722,766"
,在外公館,,,,,,,,,,"148,409,386","2,663,992",0,"2,663,992","151,073,378"
,,021,,,,,,,在外公館共通費,,"133,925,659","914,593",0,"914,593","134,840,252"
,,,95,015,2,12,9,06,,諸謝金,"7,262,155","30,878",0,"30,878","7,293,033"
,,,95,015,2,12,9,06,,政府開発援助諸謝金,"5,776,548","24,562",0,"24,562","5,801,110"
,,,95,015,2,12,2,08,,在外職員等旅費,"1,480,513","4,438",0,"4,438","1,484,951"
,,,95,015,2,12,2,08,,政府開発援助在外職員等旅費,"1,177,645","3,531",0,"3,531","1,181,176"
,,,95,015,2,12,3,09,,庁費,"3,916,091","305,100",0,"305,100","4,221,191"
,,,95,015,2,12,3,09,,政府開発援助庁費,"3,114,976","242,685",0,"242,685","3,357,661"
,,,95,015,2,12,3,09,,在外公館連絡庁費,"1,239,924","34,852",0,"34,852","1,274,776"
,,,95,015,2,12,3,09,,政府開発援助在外公館連絡庁費,"986,265","27,722",0,"27,722","1,013,987"
,,,95,015,2,12,3,09,,在外公館設備整備費,"1,438,682","130,165",0,"130,165","1,568,847"
,,,95,015,2,12,3,09,,政府開発援助在外公館設備整備費,"1,144,372","103,538",0,"103,538","1,247,910"
,,,95,015,2,12,3,09,,医薬品等買上費,"30,956","3,967",0,"3,967","34,923"
,,,95,015,2,12,3,09,,政府開発援助医薬品等買上費,"24,624","3,155",0,"3,155","27,779"
,,,95,015,2,95,9,07,,褒賞品費外24目,"106,332,908",0,0,0,"106,332,908"
,,022,,,,,,,在外公館施設費,,"5,680,299","617,344",0,"617,344","6,297,643"
,,,95,015,1,20,3,09,,施設施工庁費,"332,570","19,463",0,"19,463","352,033"
,,,95,015,1,20,3,09,,政府開発援助施設施工庁費,"264,536","15,481",0,"15,481","280,017"
,,,95,015,1,20,4,15,,施設整備費,"2,690,284","324,379",0,"324,379","3,014,663"
,,,95,015,1,20,4,15,,政府開発援助施設整備費,"2,139,937","258,021",0,"258,021","2,397,958"
