所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,,95,016,1,20,3,09,,施設施工庁費,0,"3,147",0,"3,147","3,147"
,,,95,016,2,12,5,14,,社会事業学校等経営委託費,"378,931","28,608",0,"28,608","407,539"
,,,95,016,1,20,4,15,,社会事業学校施設整備費,0,"36,700",0,"36,700","36,700"
,,,06,083,2,95,9,07,,褒賞品費外9目,"35,681,982",0,0,0,"35,681,982"
,,068,,,,,,,遺族及留守家族等援護費,,"8,029,202",0,0,0,"8,029,202"
,,069,,,,,,,戦没者慰霊事業費,,"3,637,196",0,0,0,"3,637,196"
,,070,,,,,,,中国残留邦人等支援事業費,,"1,111,637",0,0,0,"1,111,637"
,,071,,,,,,,恩給進達等実施費,,"216,441",0,0,0,"216,441"
,,072,,,,,,,障害保健福祉費,,"2,125,279,825","29,775,238",0,"29,775,238","2,155,055,063"
,,,06,083,2,81,5,16,,障害者総合支援事業費補助金,"5,203,662","17,126,964",0,"17,126,964","22,330,626"
,,,07,086,2,84,5,16,,精神保健対策費補助金,"2,602,711","544,526",0,"544,526","3,147,237"
,,,06,083,2,84,5,16,,障害児入所給付費等負担金,"341,994,896","12,103,748",0,"12,103,748","354,098,644"
,,,95,016,2,12,9,06,,諸謝金外34目,"1,775,478,556",0,0,0,"1,775,478,556"
,,073,,,,,,,独立行政法人国立重度知的障害者総合施設のぞみの園運営費,,"1,303,109",0,0,0,"1,303,109"
,,074,,,,,,,独立行政法人国立重度知的障害者総合施設のぞみの園施設整備費,,"98,913",0,0,0,"98,913"
,,075,,,,,,,特別障害給付金給付費年金特別会計へ繰入,,"2,732,894",0,0,0,"2,732,894"
,,076,,,,,,,社会福祉施設整備費,,"19,149,884","1,131,561",0,"1,131,561","20,281,445"
,,,06,083,1,20,3,09,,施設施工庁費,"21,974","22,024",0,"22,024","43,998"
,,,06,083,1,20,4,15,,心身障害児総合医療療育センター施設整備費,"205,996","73,412",0,"73,412","279,408"
,,,06,083,1,82,5,16,,地方改善施設整備費補助金,"1,481,652",0,0,0,"1,481,652"
,,,06,083,1,82,5,16,,社会福祉施設等施設整備費補助金,"17,440,262","1,036,125",0,"1,036,125","18,476,387"
,,077,,,,,,,独立行政法人福祉医療機構運営費,,"1,950,243",0,0,0,"1,950,243"
,,100,,,,,,,独立行政法人福祉医療機構出資,,0,"4,148,069",0,"4,148,069","4,148,069"
,,,06,083,1,95,9,24,,独立行政法人福祉医療機構出資金,0,"4,148,069",0,"4,148,069","4,148,069"
,,078,,,,,,,公的年金制度等運営諸費,,"500,251,920",0,0,0,"500,251,920"
,,079,,,,,,,基礎年金拠出金等年金特別会計へ繰入,,"11,964,423,852",0,0,0,"11,964,423,852"
,,080,,,,,,,私的年金制度整備運営費,,"3,633,386",0,0,0,"3,633,386"
,,081,,,,,,,高齢者日常生活支援等推進費,,"202,592,432",0,0,0,"202,592,432"
,,082,,,,,,,介護保険制度運営推進費,,"3,149,342,497","23,502,215",0,"23,502,215","3,172,844,712"
,,,06,081,2,12,5,14,,要介護認定調査委託費,"3,364,882","522,834",0,"522,834","3,887,716"
,,,06,081,2,81,5,16,,介護保険事業費補助金,"11,442,913","7,167,939",0,"7,167,939","18,610,852"
,,,06,081,2,71,5,16,,介護保険災害等臨時特例補助金,0,"9,605,449",0,"9,605,449","9,605,449"
,,,06,081,2,71,5,16,,国民健康保険災害等臨時特例補助金,0,"1,662,733",0,"1,662,733","1,662,733"
,,,06,081,2,71,5,16,,国民健康保険組合災害等臨時特例補助金,0,"355,918",0,"355,918","355,918"
,,,06,083,1,82,5,16,,地域介護・福祉空間整備等施設整備交付金,"4,960,659","4,187,342",0,"4,187,342","9,148,001"
,,,06,081,2,12,9,06,,諸謝金外15目,"3,129,574,043",0,0,0,"3,129,574,043"
,,084,,,,,,,業務取扱費年金特別会計へ繰入,,"110,072,203",0,0,0,"110,072,203"
,,085,,,,,,,国際機関活動推進費,,"14,292,749","16,090,000",0,"16,090,000","30,382,749"
,,,50,086,2,72,5,16,,政府開発援助世界保健機関等拠出金,"1,990,913","5,500,000",0,"5,500,000","7,490,913"
,,,95,016,2,72,5,16,,経済協力開発機構等拠出金,"2,803,593","10,590,000",0,"10,590,000","13,393,593"
,,,95,016,2,72,5,16,,政府開発援助国際労働機関分担金外7目,"9,498,243",0,0,0,"9,498,243"
,,086,,,,,,,国際協力費,,"232,289",0,0,0,"232,289"
,,087,,,,,,,厚生労働調査研究等推進費,,"59,786,945","13,550,000",0,"13,550,000","73,336,945"
,,,13,087,2,71,5,16,,厚生労働科学研究費補助金,"6,483,164","550,000",0,"550,000","7,033,164"
,,,13,087,2,30,5,16,,医療研究開発推進事業費補助金,"37,777,315","13,000,000",0,"13,000,000","50,777,315"
,,,13,087,2,12,9,06,,諸謝金外11目,"15,526,466",0,0,0,"15,526,466"
,,089,,,,,,,国立研究開発法人医薬基盤・健康・栄養研究所運営費,,"3,847,420",0,0,0,"3,847,420"
,,090,,,,,,,国立研究開発法人医薬基盤・健康・栄養研究所施設整備費,,"46,750",0,0,0,"46,750"
,,194,,,,,,,社会保障・税番号活用推進費,,"14,916,679",0,0,0,"14,916,679"
,,091,,,,,,,水道施設整備事業調査諸費,,"3,000",0,0,0,"3,000"
,,191,,,,,,,水道施設災害復旧事業費,,"356,000",0,0,0,"356,000"
,検疫所,,,,,,,,,,"11,968,047","4,203,357",0,"4,203,357","16,171,404"
,,101,,,,,,,検疫所共通費,,"8,583,461",0,0,0,"8,583,461"
,,102,,,,,,,検疫所施設費,,"151,742",0,0,0,"151,742"
,,103,,,,,,,検疫業務等実施費,,"1,198,848","4,203,357",0,"4,203,357","5,402,205"
,,,07,086,2,12,2,08,,検疫旅費,"50,237","23,329",0,"23,329","73,566"
,,,07,086,2,12,3,09,,検疫庁費,"809,974","4,180,028",0,"4,180,028","4,990,002"
,,,07,086,2,12,9,06,,諸謝金外8目,"338,637",0,0,0,"338,637"
,,104,,,,,,,輸入食品検査業務実施費,,"2,033,996",0,0,0,"2,033,996"
,厚生労働本省試験研究機関,,,,,,,,,,"14,238,753","2,059,531",0,"2,059,531","16,298,284"
,,121,,,,,,,厚生労働本省試験研究所共通費,,"9,630,560",0,0,0,"9,630,560"
,,122,,,,,,,厚生労働本省試験研究所施設費,,"365,409",0,0,0,"365,409"
,,123,,,,,,,血清等製造及検定費,,"478,830",0,0,0,"478,830"
,,124,,,,,,,厚生労働本省試験研究所試験研究費,,"3,763,954","2,059,531",0,"2,059,531","5,823,485"
,,,13,087,2,20,3,09,,試験研究費,"3,271,228","2,059,531",0,"2,059,531","5,330,759"
,,,13,087,2,20,9,06,,諸謝金外15目,"492,726",0,0,0,"492,726"
,都道府県労働局,,,,,,,,,,"96,169,823","1,718,743",0,"1,718,743","97,888,566"
,,151,,,,,,,都道府県労働局共通費,,"88,693,090",0,0,0,"88,693,090"
,,152,,,,,,,都道府県労働局施設費,,"195,396",0,0,0,"195,396"
,,153,,,,,,,労働条件確保・改善対策費,,"693,357",0,0,0,"693,357"
,,158,,,,,,,男女均等雇用対策費,,"133,201",0,0,0,"133,201"
,,155,,,,,,,個別労働紛争対策費,,"83,501",0,0,0,"83,501"
,,156,,,,,,,職業紹介事業等実施費,,"35,253",0,0,0,"35,253"
,,157,,,,,,,高齢者等雇用安定・促進費,,"4,783,444","1,718,743",0,"1,718,743","6,502,187"
,,,08,085,2,12,9,06,,障害者等雇用安定促進業務諸謝金,"2,557,498","908,282",0,"908,282","3,465,780"
,,,08,085,2,12,2,08,,障害者等雇用安定促進業務委員等旅費,"21,180","3,595",0,"3,595","24,775"
,,,08,085,2,12,3,09,,障害者等雇用安定促進業務庁費,"516,802","806,866",0,"806,866","1,323,668"
,,,95,083,2,12,9,06,,諸謝金外7目,"1,687,964",0,0,0,"1,687,964"
,,159,,,,,,,若年者等職業能力開発支援費,,"1,552,581",0,0,0,"1,552,581"
農林水産省,農林水産本省,,,,,,,,,,"1,578,305,929","230,041,834",0,"230,041,834","1,808,347,763"
,,001,,,,,,,農林水産本省共通費,,"98,111,322","435,000",0,"435,000","98,546,322"
,,,95,016,2,12,3,09,,情報処理業務庁費,"6,313,649","435,000",0,"435,000","6,748,649"
,,,95,016,2,12,9,06,,諸謝金外33目,"91,797,673",0,0,0,"91,797,673"
,,002,,,,,,,農林水産本省施設費,,"526,471",0,0,0,"526,471"
,,003,,,,,,,食品の安全・消費者の信頼確保対策費,,"1,497,481",0,0,0,"1,497,481"
,,004,,,,,,,独立行政法人農林水産消費安全技術センター運営費,,"6,873,178",0,0,0,"6,873,178"
,,005,,,,,,,独立行政法人農林水産消費安全技術センター施設整備費,,"36,486",0,0,0,"36,486"
,,006,,,,,,,国産農産物消費拡大対策費,,"353,937","136,840,000",0,"136,840,000","137,193,937"
,,,65,061,2,12,5,14,,国産農産物消費拡大対策調査等委託費,"199,698","1,418,000",0,"1,418,000","1,617,698"
,,,65,061,2,40,5,16,,国産農産物消費拡大対策事業費補助金,"57,888","135,422,000",0,"135,422,000","135,479,888"
,,,65,061,2,12,9,06,,諸謝金外4目,"96,351",0,0,0,"96,351"
,,007,,,,,,,農林水産物・食品輸出促進対策費,,"6,497,078","10,799,223",0,"10,799,223","17,296,301"
,,,65,061,2,40,5,16,,農林水産物・食品輸出促進対策事業費補助金,"4,025,995","9,801,473",0,"9,801,473","13,827,468"
,,,65,061,2,85,5,16,,農林水産物・食品輸出促進対策地方公共団体事業費補助金,"327,196","997,750",0,"997,750","1,324,946"
,,,65,061,2,12,9,06,,諸謝金外6目,"2,143,887",0,0,0,"2,143,887"
,,008,,,,,,,食料安全保障確立対策費,,"26,561,116",0,0,0,"26,561,116"
,,009,,,,,,,食料安全保障確立対策費食料安定供給特別会計へ繰入,,"89,000,000",0,0,0,"89,000,000"
,,010,,,,,,,担い手育成・確保等対策費,,"223,625,716","27,586,450",0,"27,586,450","251,212,166"
,,,65,061,2,71,5,16,,担い手育成・確保等対策事業費補助金,"22,279,819","3,646,000",0,"3,646,000","25,925,819"
,,,65,061,2,81,5,16,,担い手育成・確保等対策地方公共団体事業費補助金,"7,747,870","1,000,000",0,"1,000,000","8,747,870"
,,,65,061,2,71,5,16,,農業経営金融支援対策費補助金,"4,006,295","5,089,543",0,"5,089,543","9,095,838"
,,,65,061,2,40,5,16,,農業信用保険事業交付金,"31,669","1,680,101",0,"1,680,101","1,711,770"
,,,65,061,2,40,5,16,,株式会社日本政策金融公庫補給金,"16,915,519","462,806",0,"462,806","17,378,325"
,,,65,061,1,95,9,24,,株式会社日本政策金融公庫出資金,"131,000","15,708,000",0,"15,708,000","15,839,000"
,,,65,061,2,12,9,06,,諸謝金外19目,"172,513,544",0,0,0,"172,513,544"
,,011,,,,,,,独立行政法人農業者年金基金運営費,,"3,410,009",0,0,0,"3,410,009"
,,012,,,,,,,農業経営安定事業費等食料安定供給特別会計へ繰入,,"95,825,164",0,0,0,"95,825,164"
,,013,,,,,,,共済掛金国庫負担金等食料安定供給特別会計へ繰入,,"55,728,008",0,0,0,"55,728,008"
,,014,,,,,,,農地集積・集約化等対策費,,"49,571,263",0,0,0,"49,571,263"
,,015,,,,,,,農業生産基盤整備推進費,,"28,310,871",0,0,0,"28,310,871"
,,016,,,,,,,海岸事業費,,"3,539,700",0,0,0,"3,539,700"
,,017,,,,,,,農業生産基盤整備事業費,,"231,828,006",0,0,0,"231,828,006"
,,018,,,,,,,農業生産基盤整備事業費食料安定供給特別会計へ繰入,,"6,877,000",0,0,0,"6,877,000"
,,019,,,,,,,国産農産物生産・供給体制強化対策費,,"377,298,611","32,983,449",0,"32,983,449","410,282,060"
,,,65,061,2,40,5,16,,国産農産物生産・供給体制強化対策事業費補助金,"13,555,557","3,196,800",0,"3,196,800","16,752,357"
,,,65,061,2,30,5,16,,野菜価格安定対策費補助金,"5,300,000","5,596,649",0,"5,596,649","10,896,649"
,,,65,061,2,40,5,16,,高収益作物次期作支援交付金,0,"24,190,000",0,"24,190,000","24,190,000"
,,,65,061,2,12,9,06,,諸謝金外16目,"358,443,054",0,0,0,"358,443,054"
,,020,,,,,,,牛肉等関税財源国産畜産物生産・供給体制強化対策費,,"37,745,700",0,0,0,"37,745,700"
,,021,,,,,,,独立行政法人農畜産業振興機構運営費,,"2,653,227",0,0,0,"2,653,227"
,,022,,,,,,,独立行政法人家畜改良センター運営費,,"7,025,232",0,0,0,"7,025,232"
,,023,,,,,,,独立行政法人家畜改良センター施設整備費,,"151,038",0,0,0,"151,038"
,,024,,,,,,,農林水産政策研究所,,"1,089,091",0,0,0,"1,089,091"
,,026,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"1,578,379",0,0,0,"1,578,379"
,,027,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"145,902",0,0,0,"145,902"
,,028,,,,,,,農業・食品産業強化対策費,,"20,262,770","14,299,999",0,"14,299,999","34,562,769"
,,,65,061,1,82,5,16,,農業・食品産業強化対策整備交付金,"17,796,991","14,299,999",0,"14,299,999","32,096,990"
,,,65,061,2,81,5,16,,農業・食品産業強化対策推進交付金,"2,465,779",0,0,0,"2,465,779"
,,030,,,,,,,農林水産業気候変動・生物多様性保全等対策費,,"154,047",0,0,0,"154,047"
,,031,,,,,,,環境保全型農業生産対策費,,"2,497,021",0,0,0,"2,497,021"
,,032,,,,,,,農村地域資源維持・継承等対策費,,"74,864,762",0,0,0,"74,864,762"
,,044,,,,,,,6次産業化市場規模拡大対策費,,"2,533,863","4,897,713",0,"4,897,713","7,431,576"
,,,65,061,2,81,5,16,,6次産業化市場規模拡大対策推進交付金,"244,988",0,0,0,"244,988"
,,,65,061,1,82,5,16,,6次産業化市場規模拡大対策整備交付金,"2,288,875","4,897,713",0,"4,897,713","7,186,588"
,,033,,,,,,,農山漁村6次産業化対策費,,"1,036,842","2,200,000",0,"2,200,000","3,236,842"
,,,65,061,2,40,5,16,,農山漁村6次産業化対策事業費補助金,"489,798","2,200,000",0,"2,200,000","2,689,798"
,,,65,061,2,12,9,06,,諸謝金外6目,"547,044",0,0,0,"547,044"
,,035,,,,,,,農山漁村活性化対策費,,"19,870,146",0,0,0,"19,870,146"
,,036,,,,,,,農山漁村地域整備事業費,,"80,732,000",0,0,0,"80,732,000"
,,037,,,,,,,農林水産統計調査費,,"6,460,327",0,0,0,"6,460,327"
,,038,,,,,,,風水害等対策費,,"25,463",0,0,0,"25,463"
,,039,,,,,,,受託工事等実施費,,"4,576,240",0,0,0,"4,576,240"
,,040,,,,,,,海岸事業調査諸費,,"3,509",0,0,0,"3,509"
,,041,,,,,,,農業生産基盤整備事業調査諸費,,"1,137,510",0,0,0,"1,137,510"
,,042,,,,,,,農業施設災害復旧事業費,,"7,874,859",0,0,0,"7,874,859"
,,043,,,,,,,農業施設災害関連事業費,,"416,584",0,0,0,"416,584"
,農林水産技術会議,,,,,,,,,,"66,572,028","1,046,000",0,"1,046,000","67,618,028"
,,061,,,,,,,農林水産技術会議共通費,,"2,187,310",0,0,0,"2,187,310"
,,062,,,,,,,農林水産技術会議施設費,,"182,789",0,0,0,"182,789"
,,063,,,,,,,農林水産業研究開発・技術移転推進費,,"5,879,630",0,0,0,"5,879,630"
,,064,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"54,053,016","1,046,000",0,"1,046,000","55,099,016"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構農業技術研究業務勘定運営費交付金,"50,412,783","1,046,000",0,"1,046,000","51,458,783"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構基礎的研究業務勘定運営費交付金,"3,640,233",0,0,0,"3,640,233"
,,065,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"723,665",0,0,0,"723,665"
,,066,,,,,,,国立研究開発法人国際農林水産業研究センター運営費,,"3,545,618",0,0,0,"3,545,618"
,林野庁,,,,,,,,,,"319,181,265","2,491,768",0,"2,491,768","321,673,033"
,,101,,,,,,,林野庁共通費,,"33,207,199",0,0,0,"33,207,199"
,,102,,,,,,,林野庁施設費,,"1,051,160",0,0,0,"1,051,160"
,,103,,,,,,,国立研究開発法人森林研究・整備機構運営費,,"10,462,755",0,0,0,"10,462,755"
,,104,,,,,,,国立研究開発法人森林研究・整備機構施設整備費,,"214,318",0,0,0,"214,318"
,,105,,,,,,,森林整備・保全費,,"6,228,550",0,0,0,"6,228,550"
,,106,,,,,,,国有林野産物等売払及管理処分業務費,,"16,322,882",0,0,0,"16,322,882"
,,107,,,,,,,治山事業費,,"66,358,000",0,0,0,"66,358,000"
,,108,,,,,,,森林整備事業費,,"122,039,657",0,0,0,"122,039,657"
,,109,,,,,,,借入金利子国有林野事業債務管理特別会計へ繰入,,"1,534,688",0,0,0,"1,534,688"
,,110,,,,,,,国有林野事業収入財源借入金債務処理費国有林野事業債務管理特別会計へ繰入,,"21,117,693",0,0,0,"21,117,693"
,,111,,,,,,,林業振興対策費,,"5,946,779",0,0,0,"5,946,779"
,,112,,,,,,,林産物供給等振興対策費,,"2,771,242","2,491,768",0,"2,491,768","5,263,010"
,,,95,061,2,40,5,16,,林産物供給等振興事業費補助金,"2,327,279","1,095,768",0,"1,095,768","3,423,047"
,,,95,061,2,40,5,16,,林業信用保証事業交付金,"375,872","1,300,000",0,"1,300,000","1,675,872"
,,,95,061,1,95,9,24,,株式会社日本政策金融公庫出資金,0,"96,000",0,"96,000","96,000"
,,,95,061,2,12,9,06,,諸謝金外4目,"68,091",0,0,0,"68,091"
,,113,,,,,,,森林整備・林業等振興対策費,,"8,495,999",0,0,0,"8,495,999"
,,114,,,,,,,治山事業工事諸費,,"5,567,000",0,0,0,"5,567,000"
,,115,,,,,,,森林整備事業工事諸費,,"7,706,343",0,0,0,"7,706,343"
,,116,,,,,,,山林施設災害復旧事業費,,"5,266,520",0,0,0,"5,266,520"
,,117,,,,,,,山林施設災害関連事業費,,"4,832,284",0,0,0,"4,832,284"
,,118,,,,,,,山林施設災害復旧事業等工事諸費,,"58,196",0,0,0,"58,196"
,水産庁,,,,,,,,,,"154,225,065","16,870,940",0,"16,870,940","171,096,005"
,,131,,,,,,,水産庁共通費,,"7,882,735",0,0,0,"7,882,735"
,,132,,,,,,,水産庁施設費,,"77,079",0,0,0,"77,079"
,,133,,,,,,,食料安全保障確立対策費,,"633,630",0,0,0,"633,630"
,,134,,,,,,,国立研究開発法人水産研究・教育機構運営費,,"16,940,964",0,0,0,"16,940,964"
,,135,,,,,,,国立研究開発法人水産研究・教育機構施設整備費,,"343,069",0,0,0,"343,069"
,,137,,,,,,,水産資源回復対策費,,"27,888,508",0,0,0,"27,888,508"
,,138,,,,,,,船舶建造費,,"3,052,240",0,0,0,"3,052,240"
,,139,,,,,,,漁業経営安定対策費,,"31,922,404","13,675,652",0,"13,675,652","45,598,056"
,,,65,061,2,40,5,16,,漁業経営安定対策事業費補助金,"30,934,653","11,484,004",0,"11,484,004","42,418,657"
,,,65,061,2,40,5,16,,漁業経営維持安定資金利子補給等補助金,"142,682","40,568",0,"40,568","183,250"
,,,65,061,2,40,5,16,,漁業信用保険事業交付金,"250,439","1,151,080",0,"1,151,080","1,401,519"
,,,65,061,1,95,9,24,,株式会社日本政策金融公庫出資金,0,"1,000,000",0,"1,000,000","1,000,000"
,,,65,061,2,12,9,06,,諸謝金外8目,"594,630",0,0,0,"594,630"
,,140,,,,,,,保険料国庫負担金等食料安定供給特別会計へ繰入,,"17,881,438",0,0,0,"17,881,438"
,,141,,,,,,,漁村振興対策費,,"5,629,343","3,195,288",0,"3,195,288","8,824,631"
,,,65,061,2,40,5,16,,水産物加工・流通等対策事業費補助金,"722,139","3,195,288",0,"3,195,288","3,917,427"
,,,65,061,2,12,9,06,,諸謝金外9目,"4,907,204",0,0,0,"4,907,204"
,,142,,,,,,,海岸事業費,,"1,244,063",0,0,0,"1,244,063"
,,143,,,,,,,水産基盤整備費,,"37,533,287",0,0,0,"37,533,287"
,,144,,,,,,,水産業強化対策費,,"2,004,207",0,0,0,"2,004,207"
,,145,,,,,,,海岸事業調査諸費,,"4,937",0,0,0,"4,937"
,,146,,,,,,,水産基盤整備事業工事諸費,,"55,713",0,0,0,"55,713"
,,147,,,,,,,漁港施設災害復旧事業費,,"1,109,448",0,0,0,"1,109,448"
,,148,,,,,,,漁港施設災害関連事業費,,"22,000",0,0,0,"22,000"
経済産業省,経済産業本省,,,,,,,,,,"517,540,042","2,128,677,684",0,"2,128,677,684","2,646,217,726"
,,001,,,,,,,経済産業本省共通費,,"47,538,355","248,809",0,"248,809","47,787,164"
,,,95,016,2,12,5,14,,産業経済研究委託費,"829,986","248,809",0,"248,809","1,078,795"
,,,95,016,2,12,9,06,,諸謝金外30目,"46,708,369",0,0,0,"46,708,369"
,,002,,,,,,,経済産業本省施設費,,"1,454,764",0,0,0,"1,454,764"
,,003,,,,,,,産業・事業新陳代謝促進費,,"1,004,171",0,0,0,"1,004,171"
,,004,,,,,,,独立行政法人経済産業研究所運営費,,"1,750,008",0,0,0,"1,750,008"
,,005,,,,,,,技術革新促進・環境整備費,,"2,423,064","1,199,969",0,"1,199,969","3,623,033"
,,,13,062,2,30,5,16,,産業技術実用化開発事業費補助金,"400,000","1,199,969",0,"1,199,969","1,599,969"
,,,13,062,2,12,9,06,,諸謝金外7目,"2,023,064",0,0,0,"2,023,064"
,,006,,,,,,,登録免許税納付確認等事務費特許特別会計へ繰入,,"17,806",0,0,0,"17,806"
,,007,,,,,,,国立研究開発法人産業技術総合研究所運営費,,"61,600,018",0,0,0,"61,600,018"
,,008,,,,,,,国立研究開発法人新エネルギー・産業技術総合開発機構運営費,,"13,943,499","2,799,345",0,"2,799,345","16,742,844"
,,,13,062,2,30,5,16,,国立研究開発法人新エネルギー・産業技術総合開発機構一般勘定運営費交付金,"13,943,499","2,799,345",0,"2,799,345","16,742,844"
,,009,,,,,,,基準認証政策推進費,,"2,523,833",0,0,0,"2,523,833"
,,010,,,,,,,独立行政法人製品評価技術基盤機構運営費,,"7,334,014","91,655",0,"91,655","7,425,669"
,,,95,062,2,30,5,16,,独立行政法人製品評価技術基盤機構運営費交付金,"7,334,014","91,655",0,"91,655","7,425,669"
,,011,,,,,,,経済産業統計調査費,,"1,506,754",0,0,0,"1,506,754"
,,012,,,,,,,ものづくり産業振興費,,"22,368,130","23,178,668",0,"23,178,668","45,546,798"
,,,13,062,2,12,5,14,,産業技術研究開発委託費,"1,646,000","499,998",0,"499,998","2,145,998"
,,,60,062,2,40,5,16,,中小企業経営支援等対策費補助金,"1,069,094","11,680,038",0,"11,680,038","12,749,132"
,,,13,062,2,30,5,16,,医療研究開発推進事業費補助金,"16,262,304","10,998,632",0,"10,998,632","27,260,936"
,,,60,062,2,12,9,06,,ものづくり産業等業務諸謝金外15目,"3,390,732",0,0,0,"3,390,732"
,,014,,,,,,,情報技術利活用促進費,,"8,828,074","330,010",0,"330,010","9,158,084"
,,,60,062,2,12,5,14,,成果重視事業電子経済産業省構築事業開発委託費,"2,129,945","249,990",0,"249,990","2,379,935"
,,,60,062,2,40,5,16,,情報技術利活用事業費補助金,"99,985","80,020",0,"80,020","180,005"
,,,60,062,2,12,9,06,,情報業務諸謝金外7目,"6,598,144",0,0,0,"6,598,144"
,,015,,,,,,,独立行政法人情報処理推進機構運営費,,"13,146,715",0,0,0,"13,146,715"
,,013,,,,,,,サービス産業強化費,,"3,191,614","1,683,943,262",0,"1,683,943,262","1,687,134,876"
,,,60,062,2,95,9,06,,サービス産業消費喚起事業給付金,0,"1,369,916,775",0,"1,369,916,775","1,369,916,775"
,,,95,062,2,12,5,14,,流通・物流基盤整備委託費,0,"199,898",0,"199,898","199,898"
,,,60,062,2,12,5,14,,サービス産業消費喚起事業委託費,0,"309,526,513",0,"309,526,513","309,526,513"
,,,60,062,2,12,5,14,,サービス産業強化事業委託費,"1,861,503","920,458",0,"920,458","2,781,961"
,,,95,062,2,12,5,14,,医療関連サービス等産業強化事業委託費,0,"1,299,996",0,"1,299,996","1,299,996"
,,,60,062,2,40,5,16,,サービス産業強化事業費補助金,"989,618","2,079,622",0,"2,079,622","3,069,240"
,,,60,062,2,12,9,06,,サービス産業強化業務諸謝金外4目,"340,493",0,0,0,"340,493"
,,032,,,,,,,クールジャパン推進費,,"4,384,464","87,800,061",0,"87,800,061","92,184,525"
,,,60,062,2,40,5,16,,コンテンツ産業等強化事業費補助金,0,"87,800,061",0,"87,800,061","87,800,061"
,,,95,062,2,12,2,08,,職員旅費外6目,"4,384,464",0,0,0,"4,384,464"
,,033,,,,,,,サイバーセキュリティ対策推進費,,"2,924,057","1,070,007",0,"1,070,007","3,994,064"
,,,13,062,2,12,5,14,,サイバーセキュリティ対策研究開発等委託費,"1,774,234",0,0,0,"1,774,234"
,,,60,062,2,12,5,14,,中小企業サイバーセキュリティ対策促進事業委託費,0,"99,976",0,"99,976","99,976"
,,,13,062,2,30,5,16,,サイバーセキュリティ対策研究開発等補助金,"749,995","299,963",0,"299,963","1,049,958"
,,,60,062,2,30,5,16,,中小企業サイバーセキュリティ対策促進事業費補助金,"399,828","670,068",0,"670,068","1,069,896"
,,025,,,,,,,産業保安・危機管理費,,"4,209,366","1,999,994",0,"1,999,994","6,209,360"
,,,13,062,2,12,5,14,,高圧ガス等技術基準策定研究開発等委託費,"600,000","181,329",0,"181,329","781,329"
,,,13,062,2,40,5,16,,産業保安高度化推進事業費補助金,0,"1,818,665",0,"1,818,665","1,818,665"
,,,95,062,2,12,2,08,,検査旅費外4目,"3,609,366",0,0,0,"3,609,366"
,,016,,,,,,,国際交渉・連携推進費,,"3,720,708","24,500,000",0,"24,500,000","28,220,708"
,,,95,062,2,72,5,16,,日アセアン経済産業協力拠出金,0,"23,500,000",0,"23,500,000","23,500,000"
,,,95,062,2,72,5,16,,東アジア経済統合研究協力拠出金,"1,000,000","1,000,000",0,"1,000,000","2,000,000"
,,,95,062,2,12,9,06,,諸謝金外14目,"2,720,708",0,0,0,"2,720,708"
,,017,,,,,,,独立行政法人日本貿易振興機構運営費,,"25,388,887","4,998,900",0,"4,998,900","30,387,787"
,,,95,062,2,30,5,16,,政府開発援助独立行政法人日本貿易振興機構運営費交付金,"5,588,005",0,0,0,"5,588,005"
,,,95,062,2,30,5,16,,独立行政法人日本貿易振興機構運営費交付金,"19,800,882","4,998,900",0,"4,998,900","24,799,782"
,,018,,,,,,,海外市場開拓支援費,,"8,383,157",0,0,0,"8,383,157"
,,019,,,,,,,対内投資促進費,,"39,064",0,0,0,"39,064"
,,021,,,,,,,貿易管理費,,"1,872,456",0,0,0,"1,872,456"
,,022,,,,,,,地域経済活性化対策費,,"1,404,289","220,000,000",0,"220,000,000","221,404,289"
,,,95,062,2,40,5,16,,国内立地推進事業費補助金,0,"220,000,000",0,"220,000,000","220,000,000"
,,,60,062,2,12,9,06,,諸謝金外10目,"1,404,289",0,0,0,"1,404,289"
,,023,,,,,,,工業用水道事業費,,"2,995,000",0,0,0,"2,995,000"
,,024,,,,,,,環境政策推進費,,"406,960",0,0,0,"406,960"
,,026,,,,,,,消費者行政推進費,,"272,632,984","76,517,004",0,"76,517,004","349,149,988"
,,,60,062,2,12,5,14,,キャッシュレス化推進事業委託費,0,"130,706",0,"130,706","130,706"
,,,95,062,2,40,5,16,,キャッシュレス・消費者還元事業費補助金,"270,310,000","75,516,602",0,"75,516,602","345,826,602"
,,,60,062,2,40,5,16,,キャッシュレス化推進事業費補助金,0,"869,696",0,"869,696","869,696"
,,,95,062,2,12,3,09,,情報処理業務庁費外3目,"2,322,984",0,0,0,"2,322,984"
,,027,,,,,,,化学物質管理推進費,,"547,831",0,0,0,"547,831"
