year,code,amount,name,topname,depname,depcat,cat,ref
2017,7cc.54b.4a00f7.95,774980000,地域別外交費,外務省,在外公館,その他の事項経費,その他の事項経費,経済改革促進支援事業等委託費53.5% 諸謝金34.9% 庁費2.7% 政府開発援助庁費2.5% 政府開発援助諸謝金2.4% 在外職員等旅費2.1% 啓発宣伝費1.3% 政府開発援助在外職員等旅費0.6% 引揚者滞在旅費0.0% 在外公館連絡庁費0.0%
2017,7cc.54b.2baf05.95,472392000,分野別外交費,外務省,在外公館,その他の事項経費,その他の事項経費,国際テロ情報収集等活動費30.1% 諸謝金23.6% 在外職員等旅費23.1% 国際博覧会開催誘致庁費12.9% 庁費6.0% 政府開発援助庁費1.7% 在外公館連絡庁費0.8% 政府開発援助在外公館連絡庁費0.7% 国際博覧会開催誘致在外職員等旅費0.7% 国際博覧会開催誘致謝金0.3% 政府開発援助諸謝金0.2% 主要国首脳会議開催謝金0.0% 主要国首脳会議開催在外職員等旅費0.0% 主要国首脳会議開催庁費0.0%
2017,7cc.54b.5a6060.95,1885769000,広報文化交流及報道対策費,外務省,在外公館,その他の事項経費,その他の事項経費,戦略的対外発信謝金26.8% 戦略的対外発信事業委託費24.8% 啓発宣伝費17.8% 諸謝金14.6% 戦略的対外発信庁費10.6% 在外公館設備整備費2.3% 情報処理業務庁費2.0% 在外職員等旅費0.7% 庁費0.2% 政府開発援助諸謝金0.1% 政府開発援助在外職員等旅費0.1% 政府開発援助庁費0.0%
2017,7cc.54b.a35997.95,5021394000,領事政策費,外務省,在外公館,その他の事項経費,その他の事項経費,領事事務謝金48.5% 在外公館等借料46.1% 領事事務庁費1.9% 在外公館連絡庁費1.2% 領事事務職員等旅費0.7% 在外職員等旅費0.6% 在外選挙事務庁費0.5% 海外邦人援護短期貸出金0.4% 在外選挙事務謝金0.2% 在外選挙事務職員旅費0.0%
2017,7cc.54b.c86269.50,1095364000,経済協力費,外務省,在外公館,経済協力費,経済協力費,政府開発援助諸謝金92.4% 政府開発援助在外職員等旅費4.6% 政府開発援助庁費1.7% 政府開発援助啓発宣伝費1.3% 政府開発援助在外公館連絡庁費0.0%
2017,bdc.e10.e8cd2c.95,164113870000,財務本省共通費,財務省,財務本省,その他の事項経費,その他の事項経費,貨幣交換差減補填金64.5% 国家公務員共済組合負担金11.6% 職員基本給5.3% 退職手当5.3% 職員諸手当2.8% 基礎年金等国家公務員共済組合負担金2.6% 情報処理業務庁費1.7% 超過勤務手当1.5% 庁費1.3% 庁舎管理改善設備整備費0.9% 印紙製造費0.6% 職員旅費0.3% 国際機関等派遣職員給与0.2% 赴任旅費0.2% 各所修繕0.2% 通信専用料0.1% 公務災害補償費0.1% 短時間勤務職員給与0.1% 関税協力理事会等分担金0.1% 電子計算機等借料0.1% 外国留学旅費0.1% 非常勤職員手当0.1% 児童手当0.1% 諸謝金0.1% 休職者給与0.0% 公共施設等維持管理運営費0.0% 移転費0.0% 委員等旅費0.0% 委員手当0.0% 国有資産所在市町村交付金0.0% 育児休業手当金国家公務員共済組合負担金0.0% 賠償償還及払戻金0.0% 外国為替検査旅費0.0% 国会図書館支部庁費0.0% 外国人招へい旅費0.0% 交際費0.0% 保険会社損失補償金0.0% 自動車重量税0.0% 招へい外国人滞在費0.0% 主要国首脳会議開催謝金0.0% 主要国首脳会議開催職員旅費0.0% 主要国首脳会議開催委員等旅費0.0% 主要国首脳会議開催庁費0.0%
2017,bdc.e10.ac2178.95,223866000,財務本省施設費,財務省,財務本省,その他の事項経費,その他の事項経費,施設整備費99.8% 施設施工庁費0.1% 施設施工旅費0.1%
2017,bdc.e10.b67574.95,7879407000,財政健全化推進費,財務省,財務本省,その他の事項経費,その他の事項経費,電子計算機等借料44.1% 予算編成事務等機械化庁費26.5% 歳入歳出関係事務機械化庁費23.5% 庁費1.4% 通信専用料1.4% 土地建物借料1.1% 職員旅費1.0% 研修所庁費0.4% 情報処理業務庁費0.3% 諸謝金0.2% 委員等旅費0.1% 経済協力開発機構拠出金0.1% 委員手当0.0%
2017,bdc.e10.19233d.95,154082000,税制企画立案費,財務省,財務本省,その他の事項経費,その他の事項経費,庁費90.8% 職員旅費4.3% 非常勤職員手当3.0% 諸謝金1.5% 委員等旅費0.5%
2017,bdc.e10.4572e6.95,2238303000,資産債務管理費,財務省,財務本省,その他の事項経費,その他の事項経費,情報処理業務庁費57.9% 電子計算機等借料32.5% 公共施設等維持管理運営費7.1% 庁費1.2% 非常勤職員手当0.8% 職員旅費0.5% 諸謝金0.1% 委員等旅費0.0%
2017,bdc.e10.d17523.20,22707792827000,国債費,財務省,財務本省,国債費,国債費,普通国債等償還財源等国債整理基金特別会計へ繰入97.9% 年金特例公債償還財源等国債整理基金特別会計へ繰入1.2% 出資国債等償還財源国債整理基金特別会計へ繰入0.9% 庁費0.0% 情報処理業務庁費0.0% 職員旅費0.0% 諸謝金0.0% 委員等旅費0.0% 通信専用料0.0%
2017,bdc.e10.f23750.95,6695678000,公務員宿舎施設費,財務省,財務本省,その他の事項経費,その他の事項経費,合同宿舎施設改修費90.7% 施設施工庁費7.4% 施設整備費1.8% 施設施工旅費0.1% 不動産購入費0.0%
2017,bdc.e10.7d685c.95,1311645000,特定国有財産整備費,財務省,財務本省,その他の事項経費,その他の事項経費,特定施設整備費92.3% 施設施工庁費7.5% 施設施工旅費0.2%
2017,bdc.e10.898f89.95,12868000,特定国有財産整備諸費,財務省,財務本省,その他の事項経費,その他の事項経費,庁費100.0%
2017,bdc.e10.2f3225.95,14723472000,貨幣製造及信用秩序制度等企画立案費,財務省,財務本省,その他の事項経費,その他の事項経費,貨幣製造費99.8% 庁費0.1% 職員旅費0.0% 諸謝金0.0% 委員等旅費0.0%
2017,bdc.e10.f87278.95,1412306000,関税制度等企画立案費,財務省,財務本省,その他の事項経費,その他の事項経費,貿易調査統計費24.3% 研修所庁費20.9% 輸出入貨物分析機器整備費17.6% 庁費12.6% 職員旅費10.6% 電子計算機等借料8.3% 諸謝金5.1% 非常勤職員手当0.3% 委員等旅費0.1% 委員手当0.0%
2017,bdc.e10.c86269.50,77819004000,経済協力費,財務省,財務本省,経済協力費,経済協力費,政府開発援助独立行政法人国際協力機構有償資金協力部門出資金58.1% 政府開発援助アジア開発銀行等拠出金38.9% 政府開発援助米州投資公社出資金1.4% 政府開発援助アジア開発銀行総会開催庁費1.1% 政府開発援助庁費0.3% 政府開発援助職員旅費0.2% 政府開発援助外国人招へい旅費0.1% 政府開発援助招へい外国人滞在費0.0% 政府開発援助諸謝金0.0% 政府開発援助委員等旅費0.0% 政府開発援助情報処理業務庁費0.0%
2017,bdc.e10.725dd9.95,79480000,政策金融費(その他の事項経費),財務省,財務本省,その他の事項経費,その他の事項経費,危機対応円滑化業務補助金98.8% 危機対応円滑化業務補給金1.2%
2017,bdc.e10.725dd9.60,73904000000,政策金融費(中小企業対策費),財務省,財務本省,中小企業対策費,中小企業対策費,株式会社日本政策金融公庫出資金80.5% 株式会社日本政策金融公庫補給金19.5%
2017,bdc.e10.4d2e44.95,6550790000,国家公務員共済組合連合会等助成費(その他の事項経費),財務省,財務本省,その他の事項経費,その他の事項経費,基礎年金等国家公務員共済組合連合会職員共済組合負担金49.2% 国家公務員共済組合連合会補助金25.9% 旧令共済組合年金等交付金24.9% 日本製鉄八幡共済組合年金交付金0.0%
2017,bdc.e10.4d2e44.06,118071000,国家公務員共済組合連合会等助成費(生活扶助等社会福祉費),財務省,財務本省,生活扶助等社会福祉費,社会保障関係費,日本郵政共済組合等補助金100.0%
2017,bdc.e10.4d2e44.02,58159124000,国家公務員共済組合連合会等助成費(年金給付費),財務省,財務本省,年金給付費,社会保障関係費,基礎年金等日本郵政共済組合等負担金100.0%
2017,bdc.e10.c59735.95,571000000000,復興事業費等東日本大震災復興特別会計へ繰入(その他の事項経費),財務省,財務本省,その他の事項経費,その他の事項経費,東日本大震災復興特別会計へ繰入100.0%
2017,bdc.e10.c59735.20,0,復興事業費等東日本大震災復興特別会計へ繰入(国債費),財務省,財務本省,国債費,国債費,決算剰余金復興債償還財源東日本大震災復興特別会計へ繰入0.0%
